;Unnamed: 0;URL;Osoite;Alue;Myyntihinta;Velaton hinta;Pinta-ala;Neliöhinta;Rahoitusvastike;Hoitovastike;Yhtiövastike;Muut kustannukset;Kerros;Huonekokoonpano;Huoneet;Vapautuminen;Parveke;Kylpyhuoneen varusteet;Sauna;Taloyhtiössä sauna;Säilytystilat;Näkymät;Tulevat remontit;Tehdyt remontit;Infoteksti;Kerroslukema
157;157;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15605491;Haarakatu 10 A, Armonkallio, Tampere;Armonkallio;174181.64;209000.0;58.0;3603.45;187.92;232.0;419.91999999999996;Sauna: 8 EUR/kk. Muut maksut: Autohallipaikka: 48,00€/kk..;3 / 3;2-3h, k, kph/wc, lasitettu parveke;2.0;sopimuksen mukaan;True;Pesutilojen kuvaus: Siistit, laatoitetut pesutilat. Varustus: wc-istuin, suihku.;False;False;;Huoneistosta avarat näkymät!;Tulevien korjaustarpeiden selvitys (1-5 vuotta) Pihan asfaltointi Yhteisten sisätilojen maalaus.;"1991 Ikkunat 1994 parvekeovet ja julkisivukunnostus 2003 Putkistosaneeraus; käyttövesi- ja viemäriverkosto, 2004 Lukostojen uudelleensarjoitus 2008 Pihakannen/autohallin korjaus 2010 Roskakatos 2011 Puiset piha-aidat uusittu 2013 Patteritermostaatit uusittu ja lämmön tasapainotus 2014 Kaukolämmönvaihdin, IV-kanaviston nuohous ja säätö 2017 Julkisivun lämpörappaus, ikkunoiden ja parvekeovien vaihto, parvekkeiden uusiminen ja parvekelasitusten asentaminen, katon uusiminen, IV-koneen uusiminen.";"HUOM! Nyt vapautumassa hyväkuntoinen, tilava kaksio loistoyhtiöstä Armonkalliolta, kivenheiton päästä keskustan sykkeestä!

Tämä loistavapohjainen, läpitalon kaksio soveltuu hyvin niin pariskunnalle kuin pienelle perheelle. Asunto on alunperin ollut kolmio ja pienellä muutoksella sen toisen makuuhuoneen asuntoon pystyisi edelleen tarvittaessa tekemään. Asunto on lähes kauttaaltaan remontoitu muutama vuosi sitten ja on kunnoltaan muuttovalmis. Kylpyhuone on remontoitu putkiremontin yhteydessä. Olohuoneen jatkeena on lasitettu parveke. 

Asunto Oy Haarakatu 10 on erittäin hyvin hoidettu taloyhtiö, jossa isot remontit ovat jo takanapäin. Viimeisimpänä remonttina tähän yhtiöön on tehty poikkeuksellisen mittava julkisivusaneeraus, jossa on uusittu myös parvekkeet, ikkunat ja katto. Talo on yksi Armonkallion näyttävimpiä taloja! 

Tähän kohteeseen kannattaa tutustua! 

KOHTEESEEN TUTUSTUMINEN: 
HUOM! Pirkanmaan Laatuvälitys Oy haluaa omalla toiminnallaan tehdä kaikkensa, jotta koronavirus saadaan kuriin mahdollisimman tehokkaasti. Tämän vuoksi yleisesittelyjä emme pidä ollenkaan vaan epidemian aikana järjestämme ainoastaan yksityisnäyttöjä. Kun haluat tutustua tähän kohteeseen, jätäthän ystävällisesti yhteydenottopyynnön tai otat suoraan yhteyttä kohteen välittäjään. Yksityisesittely järjestyy joustavasti aikataulusi mukaan! 

Ohjeita esittelyyn tulevalle: 
- Kun varaat yksityisen esittelyn, varmistuthan siitä, että olet terve. 
- Mikäli koet, että sinulla tai jollakin perheenjäsenelläsi on flunssan oireita (nuha, yskä, kurkkukipu tai kuume) älä tule esittelyyn vaan ota yhteyttä niin siirretään se myöhempään ajankohtaan. 
- Näytöillä noudatetaan viranomaismääräyksiä ja suosituksia esim. käsihygienian suhteen. 

Lämpimästi tervetuloa!

Lisätiedot ja esittelyt: 

Janne Savolainen 
Kiinteistönvälittäjä LKV, yrittäjä 
045 6588 124 
janne.savolainen@huom.fi 

www.facebook.com/huomjanne  
www.huom.fi 
#huomjanne";3.0
158;158;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15605328;Insinöörinkatu 52 B, Hevanta, Tampere;Hervanta;149110.0;159000.0;63.0;2523.81;94.54;230.84;325.38;Internet vastike 4,30€/kk kaapeli-tv  1,00€/kk. autopaikka 13,00€/kk;4 / 8;2h+k+kph+sauna+lasitettu parveke+ vh;2.0;Heti vapaa;True;Erillinen wc Suihku, pesukonevalmius;True;False;;;"2019, rappuvalaisimet liiketunnistimelle ja pihatolppavalaisinten uusinta, raja-aidan puhdistus ja maalaus, pysäköintiruutujen maalaus
2020 Vedensuodatinjärjestelmä lämmitysverkostoon
2021 Patteriverkoston termostaattien uusinta ja verkoston tasapainotus, avainten uusiminen
2022 Elementtisaumaukset pohjois-itä puolet";1998-2001 elementit saumattu uudelleen, 2004 lämmön siirrin uusittu, 2005 vesikate ja  ovipuhelin järjestelmä, 2005 lukitus sarjoitettu, 2008 ilmanvaihtohormien nuohous, 2009 ilmamäärien tarkastumittaus, 2009 ikkunat ja parvekeovet vaihdettu, 2009 hanat uusittu, 2011 Molok- järjestelmän asennus, 2013 rakennuksen ulkovaipan pintasammaleen poisto+käsittely, 2014 rappujen ulko-ovien uusiminen, 2015 putkiston kuntotutkimus, 2015 jätekatoksen huoltomaalaus ja sammaleen poisto asuinrakennuksen katolta, 2016-2017 lvi-saneeraus käyttövesiputket ja vesimittarit sekä atk kaapelointi, 2017 parvekkeiden huoltomaalaus sekä eteläpäädyn ja länsisivun elementtisaumojen uusinta, 2018 ilmanvaihtojärjestelmän puhdistus ja säätö;"Aivan Hervannan keskustan palveluiden ja TTY:n ääreltä myynnissä saunallinen kaksio hissillisestä talosta. Tässä neljännen kerroksen asunnossa on oma sauna ja lasitettu parveke upein näkymin. Asunnon keittiö on juuri uusittu, samalla koko asuntoon on asennettu laminaatti lattia. Tästä asunnosta upeat näkymät Ahvenisjärvelle. Makuuhuoneen yhteydessä on vaatehuone ja säilytystilaa huoneistokohtaisessa varastossa. Kylpyhuoneessa on pesukoneliitäntä. 

As Oy Ahvenisrinne on 40 asunnon  omatonttinen hissillinen yhtiö. Yhtiössä kaukolämpö ja hoitovastikekin on edullinen vain 230,84€/kk. Tässä hyvin hoidetussa on huoletonta asumista luvassa.

Asunnon keskeinen sijainti helpottaa arkea - Kauppakeskus Duo ja keskustan kaikki palvelut vieressä. Ulkoilumaastojen ja lenkkipolkujen äärellä olet hetkessä sekä opiskelijalle matka TTY:lle tai Poliiskouluun matka taittuu nopeasti. Julkinen liikenne toimii kattavasti Insinöörinkatua pitkin ja ratikka valmistuttuaan kulkee vierestä. Tässä varma valinta vaikkapa ensikodiksi paraatipaikalta!

Mahdollisuus saada autopaikka.

Taloyhtiö maksaa 50% kylpyhuone remontin purku-ja rakennustöistä vesieristeeseen saakka.

Tässä hyvä vaihtoehto niin ensikodiksi kuin sijoitukseen!

Pyydä yksityisesittely kohteeseen! Korona-suositusten johdosta yleisiä esittelyitä ei toistaiseksi pidetä. Kun varaat esittelyn, huomioithan muut ja olet varmasti terve etkä karanteenissa. Mikäli huomaat flunssan oireita, peruthan esittelyn. Huomioithan käsihygienian myös esittelyissä.

Tervetuloa tutustumaan!

Lisätiedot:
Juha Alakärppä| LKV, LVV
040 160 1482
juha@asuntopalvelukarjalainen.com

www.facebook.com/AsuntopalveluKarjalainen
www.asuntopalvelukarjalainen.com";4.0
159;159;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15605299;Frans Emilin katu 2, Vuores, Tampere;Vuores;88416.26;158000.0;50.0;3160.0;448.67;192.5;641.1700000000001;Autopaikka/sähkö 5,00 €/kk, autopaikka/katos 5,00 €/kk, AK 7 hoitovastike 5,78 €/kk..;2 / 4;2h, k, kph, s, parveke;2.0;sop.muk;True;Sauna, kylpyhuone, suihku, pesukoneliitäntä, peilikaappi, allaskaappi;True;False;Kaapistot, irtaimistovarasto;pihalle, kadulle;Kunnossapitotarveselvitys: IV-nuohous 2020-2024;Piha-alueen parkkipaikkojen, autokatosalueen ja ajoväylän asfaltointi 2017. Lintuverkkojen asennus autokatokset 2018.;"Loistavalla sijainnilla, Tampereen Vuoreksessa, kaunis valoisa kaksio, jossa oma sauna ja tilava parveke. 

Vierestä pääsee kulkemaan bussilla ja huoneiston mukana on mahdollista ostaa autokatospaikka.

Tämä koti on oiva mahdollisuus ensiasunnonostajalle tai sijoittajalle. 

Varaa oma yksityisesittelysi!";2.0
160;160;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15605045;Lapintie 32 B, Armonkallio, Tampere;Armonkallio;190000.0;190000.0;47.0;4042.55;0.0;225.6;225.6;;1 / 3;2h, k, kph/wc/s, ranskalainen parveke;2.0;15.7.2020;True;Varustus: suihkuseinä, pesukoneliitäntä, wc-istuin, suihku, peili.;True;False;kellarikomero;;Pyydä kunnossapitotarvesuunnitelma välittäjältä.;2009 säätöalakeskus EH 203 & venttiilimoottori +runko, 2009 lukituksen uusiminen, 2011 elementtisaumojen tarkistus ja 2012 korjaus, 2014 avainten patterien vaihto, 2015 kiviainesrakenteisten aitojen ja muurien maalaus, sadeveden ohjuksen parantaminen, 2015 jätekatoksen maalaus, 2015 raja-aidan kunnostus ja maalaus, 2015 väestösuojan tarkastus ja tiiveyskoe gsm antenni 2016, 2016 ilmanvaihtokanavien puhdistus sekä ilmamäärien mittaus ja säätö, 2017 julkisivujen pesu.;"Tarjolla saunallinen kaksio huippusijainnilla Lapintieltä!

Tässä neutraalein sävyin vuonna 2015 remontoidussa asunnossa katseenvangitsijana toimii tyylikäs avokeittiö. Tilavassa olohuoneessa on paljon ikkunapinta-alaa. Luonnonvaloa pääsee siis reilusti sisään. Olohuoneen yhteydessä on myös ranskalainen parveke. Asunnon ikkunat ovat äänieristettyä lasia, jotka takaavat asukkaille rauhaisan kodin.

Makuuhuone on neliöihin nähden tilava, ja kaappitilaa löytyy reilusti. Vaaleassa kylpyhuoneessa on hyvin tilaa pyykinpesukoneelle. Asunnosta löytyy myös tunnelmallinen sauna. Osakkaan käytössä on lisäksi huoneistokohtainen häkkikomero.

Sijainti Lapintien päässä on loistava, kulku ydinkeskustaan onnistuu vaivattomasti kävellen tai julkisilla. Myös lähikauppa sijaitsee vain muutaman askeleen päässä.

Varaa oma esittelysi vaikka heti! 

Kohdetta myy: 
Valtteri Lampinen | 044 0778988 | valtteri@bo.fi
#valtterivälittää";1.0
161;161;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15604597;Satamakatu 17 F, Pyynikki, Tampere;Pyynikki;224000.0;224000.0;33.5;6686.57;0.0;130.65;130.65;Hoitovastike on neliöperusteinen. Jos huoneistoon kohdistuisi rahoitusvastiketta, olisi se pinta-alaperusteinen.;4 / 8;2h,kt;2.0;Heti;True;Kylpyhuone, suihku, peilit, allaskaappi, pesukoneliitäntä, lattialämmitys, kiinteät valaisimet.;False;False;Kellari;tunnelmalliselle ja rauhalliselle sisäpihalle.;;;"Heti kaupanteosta vapaa, tyylikäs v. 2019 valmistunut kaupunkiasunto omaan käyttöön tai sijoitukseen. Rakennuksen arvokas ja arvostettu sijainti Pyynikin kainalossa sopivalla etäisyydellä keskustan humusta, mutta sopivan lähellä kaikkea.
Nurkan takana odottavat Pyynikin upeat ulkoilumaastot, Pyhäjärven laineet sekä keskustan palvelut. Kulkuyhteydet niin bussilla ja autolla kuin kävellen tai pyörälläkin ovat erinomaiset. Vieressä ovat myös ihana Laukontori, kauppahalli, teatteri, uimahalli, kirjasto ja lukuisat ravintolat. 

Ennen sukkatehtaana palvelleiden rakennusten julkisivut sisäpihan piippuineen ovat täysin uutta ja erilaista. 
Tampereen Ketlari koostuu kahdeksasta kerroksesta, 65 asunnosta ja kahdesta portaasta. Kaukolämpö huolehtii viihtyisästä ja lämpimästä asumisesta.  Jokaisessa asunnossa on sekä huoneistokohtainen kylmän ja lämpimän veden mittaus että koneellinen tulo-poisto-ilmanvaihto. 

Huoneiston ikkunat ja ranskalainen parveke tunnelmalliselle sisäpihalle joten liikenteen melu ei asuntoon pääse. Tehokkaasti suunniteltu pohjaratkaisu tekee asunnosta kodikkaan.

Yksityisesittelyt ja lisätiedot Kai Käpylä 050-3896840 tai kai.kapyla@op.fi";4.0
162;162;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15604328;Päiväperhonkatu 1, Pohtola, Tampere;Pohtola;52167.54;145900.0;37.5;3890.67;69.4;142.5;211.9;;5 / 5;2h, kk, kph/wc, lasitettu parveke;2.0;myydään vuokrattuna;True;Kylpyhuone, peilikaappi, pesukoneliitäntä, suihku, suorat kääntyvät suihkuseinät;False;False;Kaapistot, huoneistokohtainen irtaimistovarasto;pihalle;-;-;"Hyvälle paikalle Näsijärven läheisyyteen on valmistunut 27.6.2019 tyylikäs kerrostalo As. Oy Tampereen Pohtolan Kultasiipi. Tässä ylimmän (5/5) kerroksen kaksiossa on tilava ja toimiva pohjaratkaisu. Olohuone ja keittiö muodostavat avaran ja viihtyisän kokonaisuuden. Asunto on hyvin varusteltu. Vaalea keittiö on täysin koneistettu. Kylpyhuoneessa on mm. kääntyvä suihkuseinä, peili- ja allaskaapit. Lattioissa on laadukas vinyylilankku. Asunnon kruununa on suuri lasitettu parveke, josta aukeaa avarat näkymät. 

Asunnolla on oma irtaimistovarasto pohjakerroksessa. Asukkaiden yhteiskäytössä on saunaosasto, koneellinen kuivaushuone ja ulkoiluvälinevarasto. Kohteen sijainti on mainio ja luonto lähellä. Venesatamaan on matkaa 300 m ja uimarantaan kilometri.  Lielahden liikekeskittymän huippupalveluihin on matkaa 1,5 km. Sujuvat bussiyhteydet keskustaan. Mahdollisuus ostaa tolppapaikka autolle. Tässä on tilaisuus sinkulle, pariskunnalle tai sijoitukseen.

ASUNTO MYYDÄÄN VALMIIKSI VUOKRATTUNA, VUOKRA 670 €/KK + VESI 20 €/KK, VAKUUS 1340 €. SOPIMUS TOISTAISEKSI VOIMASSAOLEVA. Sopimuksen ensimmäinen mahdollinen päättymispäivä on 31.5.2020. Kolme ensimmäistä vuotta valmistumisen jälkeen ovat lyhennysvapaita. Arvioitu rahoitusvastike tämän jälkeen on noin 426 €/kk (sis. koron sekä lyhennyksen. Laina-aika 25 vuotta, lainaa lyhennetään 22 vuotta. Korko 12 kk Eurbor + 0,85 €.

*****************
TÄLLÄ HETKELLÄ VAIN YKSITYISESITTELYJÄ KOHTEISIIN. SOVI ROHKEASTI OMA ESITTELYAIKASI KOHTEEN VÄLITTÄJÄLTÄ!
*****************";5.0
163;163;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15013045;Teivaalantie 5 a A 07, Lielahti, Tampere;Lielahti;49100.0;163200.0;38.0;4294.74;97.8;144.4;242.2;;1 / 6;2h+kt;2.0;Arviolta 11/2020;True;;False;False;;;;;"Nauti uudisasumisen iloista viihtyisässä kotikorttelissa. Tämän kodin valtteina ovat huoneiston levyinen parveke sekä laatoitettu terassialue, jonka yksityisyyttä on rajattu pensasaidoin. Hulppea länsiparveke on mukava bonus tässä hyvin suunnitellussa tehokaksiossa innostavien lenkkipolkujen ja Lielahden kattavien lähipalveluiden kainalossa.

 Valoisa koti avautuu kokonaisuudessaan nähtäväksi jo eteisessä. Eteistä hallitsee tyylikäs Elfa-säilytysjärjestelmä tilaa säästävine peililiukuovineen. Eteisestä on myös käynti erilliseen vaatehuoneeseen. Kookkaat ikkunat tuovat runsaasti päivänvaloa kodin sydämeen, olohuoneen ja keittotilan sopuisaan yhdistelmään. Makuuhuone on mitoitettu 120 cm levyiselle sängylle ja levollisen huoneen yhtenäiset seinät antavat monia mahdollisuuksia persoonalliseen sisustamiseen.

 Avaa ovi olohuoneesta ja astu isolle lasitetulle länsiparvekkeelle. Parveke on kuin luotu kaupunkiviljelijän tarpeisiin, rentoon yhdessäoloon ja nautinnollisiin ruokahetkiin.

 Kylpyhuoneen ilme on raikas ja moderni.  Seinä-WC, suihkunurkkaus kääntyvillä lasiovilla, tilavaraus pesukoneelle ja pyykkikaappi tekevät pesutiloista käytännölliset ja viihtyisät.

 Sisustussuunnittelijamme on valinnut tähän kotiin modernin sisustustyylin vaaleine pintoineen ja hillityn tyylikkäine kalusteineen. Puustellin keittiön kaapistot ovat valkoiset ja työtaso tumma. Kaapistojen välitila on valkoiseksi taustamaalattu lasilevy. Boschin integroidut kalusteet kuten astianpesukone, kalusteuuni ja -mikro kuuluvat vakiovarusteisiin. Raikkaan vaaleansävyinen lattia viimeistelee kodikkaan kokonaisuuden. Moderni tyyli tarjoaa neutraalin tyylikkään pohjan, jota on helppo maustaa oman maun mukaan.

 Lielahden Valon kotikorttelissa on panostettu viihtyvyyteen ja monipuolisiin yhteistiloihin. Saunassa ja vilvoitteluterassilla on ihana rentoutua. Omalla suojaisalla korttelipihalla voi grillailla ja kasvattaa istutuslaatikoissa omat yrtit ja salaatit. Postin automaatti, pesupiste koirantassuille tai lastenvaunuille sekä autonpesupaikka helpottavat arjen sujuvuutta. Yhteiseksi iloksi asukkaille tulee myös monikäyttöinen korttelitupa ja verstas työkaluineen.

 Osakkeina myytäviä autopaikkoja löytyy sekä katoksen alta että pihalta. Jokaisella autopaikalla on lämpöpistoke valmiina. Olethan yhteydessä asuntomyyntiimme, niin kerromme lisää.";1.0
164;164;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15604169;Opiskelijankatu 5 A, Hervanta, Tampere;Hervanta;95656.91;98500.0;55.5;1774.77;76.52;262.31;338.83;hoitovastike sisältää kerättävää korjausvastiketta 84,36, varsinainen hoitovastike 172,05, laajakaistavastike 5,90;5 / 12;2 h+k+kh+vh+p;2.0;Heti vapaa;True;tyylikäs, uusittu kylpyhuone, laatoitettu lattia ja seinät, suihku, pesukoneliitäntä, moderni väritys;False;False;;;katso kunnossapitotarvesuunnitelma;Vesikatteen uusiminen (liikeosa), Vesikatteen uusiminen (myös parvekekatot) 1997, Pesulalaitteiden uusiminen 1998,Paineekorotusaseman pumppujen uusiminen,Sadevesipumpun asennus kellariin,Julkisivukunnostus / toteutusvaihe, Paisunta-astioiden uusiminen 2001, Tuloilmakoneen kunnostus, KaapeliTV-verkkoon liittyminen/operaattottorin vaihtaminen, Jätekatoksen rakentaminen, Talosaunan kunnostus (sauna 3), Pyykinkuivaajan uusiminen 2005, Ilmanvaihtokanavien puhdistus, ilmamäärien säätö, laitteiden huolto, Yhteispiha-alueen kunnostus, Jätekatoksen edustan asfaltointi, Lukostosarjoitus, Patteri- ja linjasäätöbenttiilien uusiminen/toteutusvaihe, Talosaunaosaston ikkunan ja oven uusiminen (sauna 3) 2006, Liikerakennusosan kuntotarkastus, Lämpö-, viemäri- ja käyttövesiverkoston kuntotutkimus, Pesu- ja WC-tilojen kuntokartoitus, Vesikaton huolto- ja korjauskartoitus 2007, Liikerakennusosan saneeraus / suunnitteluvaihe, Porraskäytävien maalaus, Vesikalusteiden uusimisia, Talosaunan kunnostus (saunat 1 & 2) 2008, Liikerakennusosan saneeraus / toteutusvaihe 2008-09, Valvontakameroiden asennus 2010, Hissien saneeraus, Kiinteistöautomaatiosaneeraus 2011, Lämmönjakolaitteiden uusiminen / suunnitteluvaihe, Lämmönjakolaitteiden uusiminen / toteutusvaihe 2013, Lämpö-, viemäri- ja käyttövesiverkoston seurantatutkimus Huoltoraportin mukaiset vesikaton kunnostukset (suositellut) 2014, Käyttövesijohtojen venttiilien uusiminen (kellarikerros) 2015, Märkätilojen kuntokartoitus 2015, Kylmän käyttöveden runkoputken uusiminen, Talosaunaosaston terassin lasitus (sauna 3), Ikkunoiden ja parvekeovien uusiminen, Ilmanvaihtokanavien puhdistus, ilmamäärien säätö, laitteiden huolto, Näkyvien valurautaisten viemäriosuuksien uusiminen,Sauna- ja pesulaosastojen korjaukset 2017, Kattosaunan kunnostus tilaussaunaksi(löylyhuone, pesuhuone pukuhuone), sauna nro 3., Osakashallinnassa olevien huoneistojen märkätilojen vesieristeiden korjaukset,Kylpyhuonekorjauksia kartoituksen mukaan, 2018, Autohal oven uus 2019;"Hervannan keskustassa perinteikkäässä, suunnitelmallisesti hoidetussa arvostetussa yhtiössä tyylikäs 5. kerroksen kulmahuoneisto. Uusittu vaaleasävyinen keittiö, tyylikäs, moderni, uusittu kh. Lasitetulta parvekkeelta avarat näkymät. Hervannan keskustan palvelut ulko-ovella. Tässä niin omaksi asunnoksi kuin vaikka sijoittajalle kaikin puolin hyvä asunto!

Katso virtuaaliesittely: https://my.matterport.com/show/?m=foFaH8BemsL";5.0
165;165;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15604152;Näsilinnankatu 11 A, Keskusta, Tampere;Keskusta;199000.0;199000.0;51.5;3864.08;0.0;200.85;200.85;Tietoliikennemaksu 6,60e/kk;nan;2h, k, kph, vh, lasitettu parveke;2.0;Vapautuminen sopimuksen mukaan;True;Wc-istuin, allaslaatikosto, peilikaappi, uusi suihkukaappi. Kylpyhuone laatoitettu, mukavuutena lattialämmitys;False;False;;;"Tulevien korjaustarpeiden selvitys 1-5 vuotta
Elementtisaumausten kuntotutkimus, Satakunnankadun puoleisten ulko-ovien kunnostus, kiinteistön sisäpihan ja autokatoksen kaiteiden metalliosien kunnostus, sisäpihan autotallirakennuksen kuntotutkimus, betoniraudat, vesikatteen kuntotutkimus, väestönsuojan tarkastus";Katon pinnoite uusittu 1993. Julkisivun maalaus ja elementtisaumaus 1994. Lämmitysverkoston saneeraus 2002. Lämmönvaihdin uusittu ja lämmitysverkoston tasapainotettu. Ylimmän katteen pinnoite uusittu 2006. Ikkunoiden, parvekeovien ja -lasien ja ulko-ovien (2kpl) uusiminen 2008. IV-kanavat nuohottu ja venttiilit säädetty. Elisa kiinteistökuitu 2012. Hissit uusittu 2014, ilmastointikoneiden uusiminen, LTO/poistoilman talteenotto 2014. Porraskäytävien valaistuksen muuttaminen led valoiksi 2015. LVIS-remontti juuri valmistunut. Putkistosaneerauksen tuleva lainaosuus on 21.507,48 euroa, rahoitusvastike on 1.5. alkaen 107,54 euroa/kk. Sisältyy hintapyyntiin.;"Nyt myynnissä remontoitu kaksio keskustasta! Tästä koti omaan tai sijoituskäyttöön. Edulliset asumiskustannukset ja isot remontit nyt takana. Hinta sisältää juuri tehdyn putkistoremontin. Parveke Näsilinnankadun suuntaan. 

Myynti ja esittelyt:
Tommi Kuulusa p.050-3133624
tommi.kuulusa@openmarket.fi

Beaset Oy / Openmarket
Postitorvenkatu 16
33840 Tampere";
166;166;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15604072;Voionmaankatu 71 B, Rahola, Tampere;Rahola;126000.0;126000.0;57.0;2210.53;0.0;175.78;175.78;Sauna: 10 EUR/kk. Muut maksut: Tietoliikennevastike 4,80 €/kk, autotalli 45 €/kk, autotalli (ryhmätalli) 35 €/kk, autopaikka 10 €/kk. Vesimaksuennakko 16 €/hlö/kk. Tasaus kulutuksen mukaan vuosittain (lämmin 9,10 €%/m3, kylmä 3,67 €/m3).;1 / 6;2h, k, vh, kh, lasit.p.;2.0;kesäkuu 2020/sopimuksen mukaan;True;Pesutilojen kuvaus: Tilava kylpyhuone, jossa seinät ja lattia laatoitettu. Kylpyhuone on remontoitu 2009-2010. Peilikaappi, allas, wc-istuin, bide-suihku, pesukoneliitäntä (tilavaraus pesutornille), pystykaappi, suihku, lämpöpatteri.;False;False;Kuvaus: Kaapit, iso vaatehuone/työtila, huoneistokohtainen irtainvarasto, jäähdytetty kylmäkellari vinttikomero;Avarat näkymät taloyhtiö pihapiiriin, Raholanpuisto;Kunnossapitotarveselvitys/esitetty yhtiökokoukselle 3.6.2019: 2019 rivitallien ulkoseinien maalaus, 2020 puisten ulko-ovien korjaus/lakkaus, 2022 lämmönsiirtimien uusinta, 2025 peltikattojen maalaus Muu selvitykseen liittyvä informaatio. tutkitaan maalämpöön siirtymisen mahdollisuutta;1997 julkisivusaneeraus, 2006 lukituksen uusinta, 2010 sokkelin vesieristys ja sadevesijärjestelmän rakentaminen, 2010 talotekninen perusparannus, 2011 talo 71 poistoilmakoneen lisäys ilmastointiin, 2011 valokuitukaapelien rakentaminen talojen välille, 2012-2015 rivitallien peltikattojen maalaukset, 2014-2015 parvekkeiden sisäpuolisia pinnoitekorjauksia, 2016-2017 huoneistojen ulko-ovien tiivistyksiä pj:n toimesta, 2018 tuuletusparvekkeiden puuosien maalaus Yhtiössä suoritettiin talotekninen saneeraus 2009-2010,, jonka keskeisin sisältö oli: - kylpyhuoneiden peruskorjaus ja vesieristeiden ja laatoitusten uusinta kaikissa huoneistoissa - vesikalusteiden uusinta koko kiinteistössä - vesi- ja viemärijohtojen uusinta läpi kiinteistön - talosaunojen peruskorjaus - iv-kanavien puhdistus ja säätö - yleiskaapelointi atk-järjestelmiä varten - patteritermostaattien uusinta - lämmitysverkoston tasapainotus ja säätö - sähköpääkeskuksen uusinta - sokkelin vedeneristys ja sadevesijärjestelmän rakentaminen 2016-2017 tehty remontti johon kuului: - huoneistoikkunoiden ja-parvekeovien sekä kellaritakaovien uusiminen (ei uusittu käytäväikkunoita ja tuuletusparvekeovia) - ilmanvaihdon puhdistus ja säätö sekä ilmanvaihtokoneisiin taajuusmuuttajien asennus lämpötilaohjauksella - patteriverkostön säätötyö;"Tämä on hyvä ja kaunis asunto! Valoisa läpitalon huoneisto hyvin hoidetussa taloyhtiössä. Asunto on hyväkuntoinen, kylpyhuone remontoitu taloyhtiön putkistoremontin yhteydessä, olohuoneesta käynti lasitetulle länsiparvekkeelle ja runsaasti säilytystilaa. 

Asunnossa on erittäin edulliset asumiskustannukset, hoitovastike vain 3,08 €/m2, vesimaksu kulutuksen mukaan, yhtiössä valokuitu, vesi- ja viemäriputket sekä ikkunat uusittu. Taloyhtiö sijaitsee omalla isolla tontilla. 

Tervetuloa tutustumaan paikan päälle - todennäköisesti ihastut!

Sovitaan sinulle parhaiten sopiva aika asuntoesittelylle - soita Annelle 050 372 3133 tai lähetä viesti anne@annelkv.fi.

Yhteydenotot, esitetilaukset ja esittelyvaraukset:
Anne Jokinen : 050 372 3133 : anne@annelkv.fi
FB: Anne LKV : Linkedin: @AnneLKV : Twitter: @AnneLKV : Instagram: Anne_LKV : www.annelkv.fi";1.0
167;167;https://asunnot.oikotie.fi/myytavat-asunnot/tampere/15603977;Tampellan Esplanadi 9 A, Tampella, Tampere;Tampella;298000.0;298000.0;61.5;4845.53;0.0;167.9;167.9;Muut maksut: Tietoliikennevastike 6,50€/kk.;3 / 13;2h, k, s, las.p.;2.0;sopimuksen mukaan;True;Pesutilojen kuvaus: Suihkuseinä, peilikaappi, allaskaappi, pyykkikaappi, pesukoneliitäntä Varustus: lattialämmitys. Erillisen WC:n kuvaus: Peilikaappi, allaskaappi, bide-suihku, lattialämmitys;True;False;Kuvaus: kaapistot, irtainvarasto.;Lounaaseen avaralle sisäpihalle.;Kunnossapitotarveselvitys: 2019 leikkipaikan kunnostaminen 2021-2022 parvekelasien huolto;2013 IV-perussäätö 2015 parvekelasien vuosihuolto 2018 parvekelasien vuosihuolto 2018 kuntoarvion laadinta;"Tarjolla helppoa ja tyylikästä asumista arvostetulla Tampellan alueella.
Tässä saunallisessa kaksiossa on loistava pohjaratkaisu. Avarasta olohuoneesta on käynti makuuhuoneeseen ja keittiöön sekä lähes koko asunnon levyiselle lasitetulle parvekkeelle, joka suuntautuu suojaisalle sisäpihalle. Iso kylpyhuone ja erillinen wc lisää asumismukavuutta.  

As Oy Tampereen Espankulma on omatonttinen hyvin hoidettu yhtiö keskeisellä sijainnilla. Edulliset asumiskulut, hoitovastike vain 2,73€/m2. 

Tampellan alue sykkii elämää aivan keskustan kupeessa jossa torit, kauniit koskimaisemat ja Näsijärven ranta ulkoilumaastoineen luovat upean tunnelman. Alue on tunnettu hyvistä ruokailupaikoista, teatterista ja museokeskus Vapriikista.

Lisätiedot ja esittelyt
Tiina Joensivu LKV
Kiinteistönvälittäjä
040 581 6660
tiina.joensivu@roomalkv.fi";3.0
